time,ref,ref_top,ref_bottom,u,y
95.025,17.500,20.500,14.500,16.000,29.60
95.050,17.500,20.500,14.500,16.000,29.10
95.075,17.500,20.500,14.500,16.000,29.30
95.100,17.500,20.500,14.500,16.000,28.40
95.125,17.500,20.500,14.500,16.000,28.00
95.150,17.500,20.500,14.500,16.000,28.00
95.175,17.500,20.500,14.500,16.000,27.30
95.200,17.500,20.500,14.500,16.000,28.40
95.225,17.500,20.500,14.500,16.000,27.10
95.250,17.500,20.500,14.500,16.000,27.20
95.275,17.500,20.500,14.500,16.000,26.30
95.300,17.500,20.500,14.500,16.000,26.00
95.325,17.500,20.500,14.500,16.000,25.80
95.350,17.500,20.500,14.500,16.000,25.20
95.375,17.500,20.500,14.500,16.000,25.10
95.400,17.500,20.500,14.500,16.000,24.30
95.425,17.500,20.500,14.500,16.000,24.20
95.450,17.500,20.500,14.500,16.000,23.40
95.475,17.500,20.500,14.500,16.000,23.10
95.500,17.500,20.500,14.500,16.000,22.00
95.525,17.500,20.500,14.500,16.000,22.20
95.550,17.500,20.500,14.500,16.000,21.90
95.575,17.500,20.500,14.500,16.000,20.90
95.600,17.500,20.500,14.500,16.000,20.00
95.625,17.500,20.500,14.500,16.000,19.80
95.650,17.500,20.500,14.500,16.000,18.80
95.675,17.500,20.500,14.500,16.000,18.40
95.700,17.500,20.500,14.500,16.000,17.50
95.725,17.500,20.500,14.500,16.000,17.50
95.750,17.500,20.500,14.500,16.000,16.60
95.775,17.500,20.500,14.500,16.000,16.10
95.800,17.500,20.500,14.500,16.000,16.10
95.825,17.500,20.500,14.500,16.000,15.10
95.850,17.500,20.500,14.500,16.000,14.60
95.875,17.500,20.500,14.500,17.500,13.50
95.900,17.500,20.500,14.500,17.500,13.30
95.925,17.500,20.500,14.500,17.500,13.20
95.950,17.500,20.500,14.500,17.500,11.80
95.975,17.500,20.500,14.500,17.500,12.00
96.000,17.500,20.500,14.500,17.500,10.80
96.025,17.500,20.500,14.500,17.500,10.10
96.050,17.500,20.500,14.500,17.500,10.10
96.075,17.500,20.500,14.500,17.500,8.80
96.100,17.500,20.500,14.500,17.500,8.40
96.125,17.500,20.500,14.500,17.500,7.40
96.150,17.500,20.500,14.500,17.500,7.50
96.175,17.500,20.500,14.500,17.500,7.30
96.200,17.500,20.500,14.500,17.500,6.70
96.225,17.500,20.500,14.500,17.500,6.70
96.250,17.500,20.500,14.500,17.500,5.90
96.275,17.500,20.500,14.500,17.500,5.30
96.300,17.500,20.500,14.500,17.500,4.30
96.325,17.500,20.500,14.500,17.500,5.20
96.350,17.500,20.500,14.500,17.500,4.30
96.375,17.500,20.500,14.500,17.500,3.60
96.400,17.500,20.500,14.500,17.500,3.30
96.425,17.500,20.500,14.500,17.500,2.90
96.450,17.500,20.500,14.500,17.500,2.60
96.475,17.500,20.500,14.500,17.500,2.40
96.500,17.500,20.500,14.500,17.500,2.10
96.525,17.500,20.500,14.500,17.500,1.90
96.550,17.500,20.500,14.500,17.500,1.30
96.575,17.500,20.500,14.500,17.500,0.90
96.600,17.500,20.500,14.500,17.500,1.40
96.625,17.500,20.500,14.500,17.500,1.40
96.650,17.500,20.500,14.500,17.500,0.90
96.675,17.500,20.500,14.500,17.500,1.40
96.700,17.500,20.500,14.500,17.500,1.10
96.725,17.500,20.500,14.500,17.500,1.30
96.750,17.500,20.500,14.500,17.500,0.70
96.775,17.500,20.500,14.500,17.500,1.00
96.800,17.500,20.500,14.500,17.500,1.30
96.825,17.500,20.500,14.500,17.500,0.80
96.850,17.500,20.500,14.500,17.500,1.10
96.875,17.500,20.500,14.500,17.500,0.90
96.900,17.500,20.500,14.500,17.500,1.10
96.925,17.500,20.500,14.500,17.500,1.20
96.950,17.500,20.500,14.500,17.500,1.10
96.975,17.500,20.500,14.500,17.500,1.40
97.000,17.500,20.500,14.500,17.500,0.90
97.025,17.500,20.500,14.500,17.500,1.00
97.050,17.500,20.500,14.500,17.500,1.00
97.075,17.500,20.500,14.500,17.500,1.40
97.100,17.500,20.500,14.500,17.500,1.10
97.125,17.500,20.500,14.500,17.500,1.20
97.150,17.500,20.500,14.500,17.500,1.40
97.175,17.500,20.500,14.500,17.500,0.80
97.200,17.500,20.500,14.500,17.500,1.30
97.225,17.500,20.500,14.500,17.500,1.50
97.250,17.500,20.500,14.500,17.500,1.60
97.275,17.500,20.500,14.500,17.500,1.30
97.300,17.500,20.500,14.500,17.500,1.90
97.325,17.500,20.500,14.500,17.500,1.90
97.350,17.500,20.500,14.500,17.500,2.30
97.375,17.500,20.500,14.500,17.500,2.40
97.400,17.500,20.500,14.500,17.500,2.40
97.425,17.500,20.500,14.500,17.500,2.50
97.450,17.500,20.500,14.500,17.500,3.40
97.475,17.500,20.500,14.500,17.500,3.30
97.500,17.500,20.500,14.500,17.500,3.70
97.525,17.500,20.500,14.500,17.500,3.60
97.550,17.500,20.500,14.500,17.500,4.40
97.575,17.500,20.500,14.500,17.500,4.50
97.600,17.500,20.500,14.500,17.500,4.90
97.625,17.500,20.500,14.500,17.500,5.50
97.650,17.500,20.500,14.500,17.500,5.70
97.675,17.500,20.500,14.500,17.500,6.00
97.700,17.500,20.500,14.500,17.500,6.00
97.725,17.500,20.500,14.500,17.500,6.40
97.750,17.500,20.500,14.500,17.500,6.90
97.775,17.500,20.500,14.500,17.500,7.50
97.800,17.500,20.500,14.500,17.500,7.60
97.825,17.500,20.500,14.500,17.500,8.20
97.850,17.500,20.500,14.500,17.500,8.90
97.875,17.500,20.500,14.500,17.500,9.20
97.900,17.500,20.500,14.500,17.500,9.60
97.925,17.500,20.500,14.500,17.500,10.20
97.950,17.500,20.500,14.500,17.500,10.40
97.975,17.500,20.500,14.500,17.500,10.90
98.000,17.500,20.500,14.500,17.500,10.90
98.025,17.500,20.500,14.500,17.500,12.50
98.050,17.500,20.500,14.500,17.500,12.40
98.075,17.500,20.500,14.500,17.500,12.80
98.100,17.500,20.500,14.500,17.500,13.60
98.125,17.500,20.500,14.500,17.500,13.60
98.150,17.500,20.500,14.500,17.500,14.60
98.175,17.500,20.500,14.500,17.500,15.00
98.200,17.500,20.500,14.500,17.500,15.70
